Discipline,Specialty,Year,AllRef,OutSpecRef,OutDiscRef,AllCit,OutSpecCit,OutDiscCit
Arts,Fine Arts & Architecture,1975,175,0.56,0.55,1393,0.31,0.3
Arts,Fine Arts & Architecture,1976,332,0.59,0.59,1931,0.45,0.42
Arts,Fine Arts & Architecture,1977,424,0.51,0.5,2018,0.45,0.43
Arts,Fine Arts & Architecture,1978,434,0.46,0.46,2163,0.46,0.44
Arts,Fine Arts & Architecture,1979,443,0.4,0.39,1791,0.37,0.36
Arts,Fine Arts & Architecture,1980,670,0.37,0.36,2661,0.55,0.51
Arts,Fine Arts & Architecture,1981,721,0.37,0.37,2158,0.5,0.48
Arts,Fine Arts & Architecture,1982,803,0.33,0.33,2458,0.53,0.52
Arts,Fine Arts & Architecture,1983,927,0.42,0.41,2638,0.58,0.56
Arts,Fine Arts & Architecture,1984,981,0.41,0.39,2205,0.51,0.48
Arts,Fine Arts & Architecture,1985,1005,0.38,0.38,2862,0.64,0.63
Arts,Fine Arts & Architecture,1986,1095,0.4,0.39,1986,0.53,0.51
Arts,Fine Arts & Architecture,1987,1066,0.4,0.38,2058,0.53,0.51
Arts,Fine Arts & Architecture,1988,1186,0.41,0.4,2098,0.57,0.54
Arts,Fine Arts & Architecture,1989,1168,0.36,0.35,2871,0.65,0.63
Arts,Fine Arts & Architecture,1990,1170,0.44,0.42,2188,0.61,0.59
Arts,Fine Arts & Architecture,1991,1457,0.45,0.44,2960,0.7,0.68
Arts,Fine Arts & Architecture,1992,1358,0.41,0.4,2364,0.64,0.62
Arts,Fine Arts & Architecture,1993,1713,0.55,0.54,2126,0.6,0.58
Arts,Fine Arts & Architecture,1994,1567,0.49,0.47,2243,0.67,0.65
Arts,Fine Arts & Architecture,1995,1491,0.5,0.49,1971,0.64,0.63
Arts,Fine Arts & Architecture,1996,1336,0.45,0.44,1860,0.66,0.64
Arts,Fine Arts & Architecture,1997,1390,0.48,0.47,1885,0.65,0.62
Arts,Fine Arts & Architecture,1998,1533,0.43,0.42,2148,0.67,0.65
Arts,Fine Arts & Architecture,1999,1475,0.44,0.43,1835,0.62,0.6
Arts,Fine Arts & Architecture,2000,1768,0.58,0.57,2953,0.75,0.73
Arts,Fine Arts & Architecture,2001,1614,0.52,0.51,1857,0.67,0.66
Arts,Fine Arts & Architecture,2002,1671,0.44,0.43,2193,0.72,0.71
Arts,Fine Arts & Architecture,2003,1931,0.51,0.5,2096,0.75,0.73
Arts,Fine Arts & Architecture,2004,1581,0.56,0.55,2391,0.79,0.75
Arts,Fine Arts & Architecture,2005,1890,0.58,0.57,1519,0.7,0.68
Arts,Fine Arts & Architecture,2006,2039,0.58,0.57,1663,0.73,0.72
Arts,Fine Arts & Architecture,2007,2387,0.65,0.64,1944,0.7,0.68
Arts,Fine Arts & Architecture,2008,3306,0.71,0.7,1786,0.72,0.71
Arts,Fine Arts & Architecture,2009,3919,0.73,0.72,1732,0.7,0.69
Arts,Fine Arts & Architecture,2010,4245,0.72,0.71,1405,0.65,0.64
Arts,Fine Arts & Architecture,2011,5312,0.73,0.72,1252,0.67,0.66
Arts,Fine Arts & Architecture,2012,5954,0.74,0.73,880,0.67,0.66
Arts,Fine Arts & Architecture,2013,6663,0.77,0.76,401,0.74,0.73
Arts,Fine Arts & Architecture,2014,7180,0.77,0.76,117,0.67,0.67
Arts,Performing Arts,1969,157,0.74,0.74,229,0.43,0.42
